FECHA_PRESTACION,TOTAL_PRESTACIONES_DIA,TOTAL_LIQUIDADO_DIA,LIQUIDADO_ACUMULADO
2024-07-25,57,19329.55,4678279.99
2024-07-26,41,8042.66,4686322.65
2024-07-27,34,16530.66,4702853.31
2024-07-28,16,4370.5,4707223.81
2024-07-29,17,13776.22,4721000.03
2024-07-30,56,10493.5,4731493.53
2024-07-31,43,11125.16,4742618.69
2024-08-01,39,23642.74,4766261.43
2024-08-02,41,15121.59,4781383.02
2024-08-03,12,46633.36,4828016.38
2024-08-04,18,6146.54,4834162.92
2024-08-05,32,12921.43,4847084.35
2024-08-06,14,9711.14,4856795.49
2024-08-07,37,11011.84,4867807.33
2024-08-08,51,18953.82,4886761.15
2024-08-09,33,19905.27,4906666.42
2024-08-10,20,3728.33,4910394.75
2024-08-11,12,5276.3,4915671.05
2024-08-12,41,12650.07,4928321.12
2024-08-13,36,11259.7,4939580.82
2024-08-14,27,13783.75,4953364.57
2024-08-15,32,15808.6,4969173.17
2024-08-16,40,39658.21,5008831.38
2024-08-17,21,9107.11,5017938.49
2024-08-18,13,2300.69,5020239.18
2024-08-19,37,8614.42,5028853.6
2024-08-20,33,13418.9,5042272.5
2024-08-21,43,50074.87,5092347.37
2024-08-22,41,8745.01,5101092.38
2024-08-23,25,15745.01,5116837.39
2024-08-24,28,24777.3,5141614.69
2024-08-25,15,3234.97,5144849.66
2024-08-26,42,16380.97,5161230.63
2024-08-27,50,25992.86,5187223.49
2024-08-28,64,11446.35,5198669.84
2024-08-29,25,19308.62,5217978.46
2024-08-30,12,1639.48,5219617.94
2024-08-31,17,15589.04,5235206.98
2024-09-01,29,3484.1,5238691.08
2024-09-02,45,10612.11,5249303.19
2024-09-03,48,10910.16,5260213.35
2024-09-04,47,17662.63,5277875.98
2024-09-05,64,32176.9,5310052.88
2024-09-06,46,20218.25,5330271.13
2024-09-07,35,17164.81,5347435.94
2024-09-08,26,4977.05,5352412.99
2024-09-09,68,20252.37,5372665.36
2024-09-10,61,12405.8,5385071.16
2024-09-11,70,16136.17,5401207.33
2024-09-12,71,33724.26,5434931.59
2024-09-13,57,12855.12,5447786.71
2024-09-14,49,12038.86,5459825.57
2024-09-15,29,6541.37,5466366.94
2024-09-16,60,22450.33,5488817.27
2024-09-17,54,14016.88,5502834.15
2024-09-18,47,12284.56,5515118.71
2024-09-19,54,13089.7,5528208.41
2024-09-20,34,10693.28,5538901.69
2024-09-21,27,4091.48,5542993.17
2024-09-22,28,7498.61,5550491.78
2024-09-23,89,73130.73,5623622.51
2024-09-24,44,20766.53,5644389.04
2024-09-25,64,17631.59,5662020.63
2024-09-26,48,25508.85,5687529.48
2024-09-27,31,4864.76,5692394.24
2024-09-28,29,10620.86,5703015.1
2024-09-29,27,8394.04,5711409.14
2024-09-30,48,9935.09,5721344.23
2024-10-01,36,21217.59,5742561.82
2024-10-02,26,14030.19,5756592.01
2024-10-03,29,6671.52,5763263.53
2024-10-04,20,5591.74,5768855.27
2024-10-05,18,26501.34,5795356.61
2024-10-06,7,78637.15,5873993.76
2024-10-07,35,7053.79,5881047.55
2024-10-08,12,75860.2,5956907.75
2024-10-09,36,15052.99,5971960.74
2024-10-10,28,14296.92,5986257.66
2024-10-11,24,11973.54,5998231.2
2024-10-12,9,3064.16,6001295.36
2024-10-13,7,1151.25,6002446.61
2024-10-14,55,15897.35,6018343.96
2024-10-15,53,20082.85,6038426.81
2024-10-16,28,24541.46,6062968.27
2024-10-17,33,7634.34,6070602.61
2024-10-18,35,105471.09,6176073.7
2024-10-19,25,4975.52,6181049.22
2024-10-20,21,5204.37,6186253.59
2024-10-21,39,8228.31,6194481.9
2024-10-22,57,8060.14,6202542.04
2024-10-23,48,8922.72,6211464.76
2024-10-24,46,21557.66,6233022.42
2024-10-25,40,46848.79,6279871.21
2024-10-26,21,19844.52,6299715.73
2024-10-27,24,9806.96,6309522.69
2024-10-28,78,18265.82,6327788.51
2024-10-29,91,41959.57,6369748.08
2024-10-30,87,16807.72,6386555.8
2024-10-31,94,44712.22,6431268.02
2024-11-01,10,7921.91,6439189.93
2024-11-02,10,30190.03,6469379.96
2024-11-03,10,2328.04,6471708.0
2024-11-04,45,11048.82,6482756.82
2024-11-05,42,14602.86,6497359.68
2024-11-06,44,33800.71,6531160.39
2024-11-07,45,32416.58,6563576.97
2024-11-08,41,17796.77,6581373.74
2024-11-09,29,14202.15,6595575.89
2024-11-10,12,3345.01,6598920.9
2024-11-11,40,9832.3,6608753.2
2024-11-12,48,60214.95,6668968.15
2024-11-13,37,8760.28,6677728.43
2024-11-14,47,27674.56,6705402.99
2024-11-15,29,15752.96,6721155.95
2024-11-16,18,4776.38,6725932.33
2024-11-17,11,2552.93,6728485.26
2024-11-18,52,14307.91,6742793.17
2024-11-19,38,4555.19,6747348.36
2024-11-20,39,35224.26,6782572.62
2024-11-21,48,8136.9,6790709.52
2024-11-22,21,5056.02,6795765.54
2024-11-23,22,8326.99,6804092.53
2024-11-24,5,1841.86,6805934.39
2024-11-25,45,36058.39,6841992.78
2024-11-26,35,6419.11,6848411.89
2024-11-27,44,39582.72,6887994.61
2024-11-28,37,22268.16,6910262.77
2024-11-29,37,27400.38,6937663.15
2024-11-30,47,17248.8,6954911.95
2024-12-01,21,21578.8,6976490.75
2024-12-02,33,7078.43,6983569.18
2024-12-03,41,22939.52,7006508.7
2024-12-04,38,12210.8,7018719.5
2024-12-05,35,63071.11,7081790.61
2024-12-06,30,14608.62,7096399.23
2024-12-07,19,4823.08,7101222.31
2024-12-08,10,6855.38,7108077.69
2024-12-09,16,3170.03,7111247.72
2024-12-10,42,12609.84,7123857.56
2024-12-11,31,6463.26,7130320.82
2024-12-12,41,28949.74,7159270.56
2024-12-13,26,12069.07,7171339.63
2024-12-14,25,6506.4,7177846.03
2024-12-15,17,2932.07,7180778.1
2024-12-16,35,25485.25,7206263.35
2024-12-17,35,10215.56,7216478.91
2024-12-18,45,9534.32,7226013.23
2024-12-19,30,51605.3,7277618.53
2024-12-20,31,8297.92,7285916.45
2024-12-21,23,8009.32,7293925.77
2024-12-22,25,5559.7,7299485.47
2024-12-23,37,13938.35,7313423.82
2024-12-24,12,3318.28,7316742.1
2024-12-25,11,1973.71,7318715.81
2024-12-26,50,33970.84,7352686.65
2024-12-27,34,11592.92,7364279.57
2024-12-28,21,5533.72,7369813.29
2024-12-29,13,6258.98,7376072.27
2024-12-30,59,17300.4,7393372.67
2024-12-31,20,10237.98,7403610.65
2025-01-01,47,104275.93,7507886.58
2025-01-02,24,19284.31,7527170.89
2025-01-03,31,12010.54,7539181.43
2025-01-04,13,3585.7,7542767.13
2025-01-05,22,31018.78,7573785.91
2025-01-06,47,14560.58,7588346.49
2025-01-07,40,8687.51,7597034.0
2025-01-08,39,16631.57,7613665.57
2025-01-09,38,7331.74,7620997.31
2025-01-10,34,9192.0,7630189.31
2025-01-11,9,2919.06,7633108.37
2025-01-12,14,16920.17,7650028.54
2025-01-13,25,7456.59,7657485.13
2025-01-14,27,7321.19,7664806.32
2025-01-15,33,34117.45,7698923.77
2025-01-16,23,20821.8,7719745.57
2025-01-17,17,4369.06,7724114.63
2025-01-18,30,8710.58,7732825.21
2025-01-19,3,804.81,7733630.02
2025-01-20,40,51152.05,7784782.07
2025-01-21,34,16383.64,7801165.71
2025-01-22,35,16976.03,7818141.74
2025-01-23,27,6991.98,7825133.72
2025-01-24,20,21719.1,7846852.82
2025-01-25,8,4173.64,7851026.46
2025-01-26,7,4065.9,7855092.36
2025-01-27,25,7054.35,7862146.71
2025-01-28,28,20271.94,7882418.65
2025-01-29,19,10094.64,7892513.29
2025-01-30,41,18907.87,7911421.16
2025-01-31,25,16578.91,7928000.07
2025-02-01,15,15445.4,7943445.47
2025-02-02,10,1717.17,7945162.64
2025-02-03,37,73649.56,8018812.2
2025-02-04,17,89526.05,8108338.25
2025-02-05,23,10760.2,8119098.45
2025-02-06,23,33341.8,8152440.25
2025-02-07,27,7002.68,8159442.93
2025-02-08,15,3278.76,8162721.69
2025-02-09,7,62713.95,8225435.64
2025-02-10,21,9871.5,8235307.14
2025-02-11,42,26310.9,8261618.04
2025-02-12,24,7197.39,8268815.43
2025-02-13,25,7617.77,8276433.2
2025-02-14,29,12456.11,8288889.31
2025-02-15,13,16139.26,8305028.57
2025-02-16,6,6807.05,8311835.62
2025-02-17,31,9914.33,8321749.95
2025-02-18,21,32801.82,8354551.77
2025-02-19,23,9194.59,8363746.36
2025-02-20,20,9721.6,8373467.96
2025-02-21,32,41350.37,8414818.33
2025-02-22,23,19772.43,8434590.76
2025-02-23,8,4051.98,8438642.74
2025-02-24,31,18788.39,8457431.13
2025-02-25,19,5174.39,8462605.52
2025-02-26,28,11038.15,8473643.67
2025-02-27,43,13626.09,8487269.76
2025-02-28,32,27958.28,8515228.04
2025-03-01,26,5986.37,8521214.41
2025-03-02,9,15896.57,8537110.98
2025-03-03,36,10675.64,8547786.62
2025-03-04,45,80476.44,8628263.06
2025-03-05,32,10102.55,8638365.61
2025-03-06,26,5175.42,8643541.03
2025-03-07,45,13087.87,8656628.9
2025-03-08,24,10915.24,8667544.14
2025-03-09,10,9069.09,8676613.23
2025-03-10,43,34745.28,8711358.51
2025-03-11,48,21997.92,8733356.43
2025-03-12,54,31455.81,8764812.24
2025-03-13,59,28600.34,8793412.58
2025-03-14,44,79249.42,8872662.0
2025-03-15,27,12044.61,8884706.61
2025-03-16,1,125.22,8884831.83
2025-03-17,33,23340.35,8908172.18
2025-03-18,53,25936.07,8934108.25
2025-03-19,38,18782.96,8952891.21
2025-03-20,38,23905.01,8976796.22
2025-03-21,23,47629.54,9024425.76
2025-03-22,28,17267.9,9041693.66
2025-03-23,13,44814.79,9086508.45
2025-03-24,39,7897.73,9094406.18
2025-03-25,38,11839.88,9106246.06
2025-03-26,43,50564.15,9156810.21
2025-03-27,46,37134.75,9193944.96
2025-03-28,48,28999.95,9222944.91
2025-03-29,20,7113.13,9230058.04
2025-03-30,8,8603.21,9238661.25
2025-03-31,40,11033.64,9249694.89
2025-04-01,43,40445.1,9290139.99
2025-04-02,32,11219.18,9301359.17
2025-04-03,34,11692.18,9313051.35
2025-04-04,49,52900.83,9365952.18
2025-04-05,22,5286.47,9371238.65
2025-04-06,7,17994.71,9389233.36
2025-04-07,56,17995.96,9407229.32
2025-04-08,37,47841.5,9455070.82
2025-04-09,37,7794.88,9462865.7
2025-04-10,31,12084.65,9474950.35
2025-04-11,53,43802.1,9518752.45
2025-04-12,41,23790.89,9542543.34
2025-04-13,4,3001.13,9545544.47
2025-04-14,60,20123.76,9565668.23
2025-04-15,49,95682.7,9661350.93
2025-04-16,34,53978.23,9715329.16
2025-04-17,9,5798.8,9721127.96
2025-04-18,4,124164.73,9845292.69
2025-04-19,13,8210.9,9853503.59
2025-04-20,18,5421.91,9858925.5
2025-04-21,52,59322.38,9918247.88
2025-04-22,58,11073.31,9929321.19
2025-04-23,131,13934.77,9943255.96
2025-04-24,133,28827.0,9972082.96
2025-04-25,110,16607.25,9988690.21
2025-04-26,29,82729.36,10071419.57
2025-04-27,8,36894.47,10108314.04
2025-04-28,108,158745.36,10267059.4
2025-04-29,27,11148.84,10278208.24
2025-04-30,53,19937.01,10298145.25
2025-05-01,72,84193.22,10382338.47
2025-05-02,46,33606.07,10415944.54
2025-05-03,22,27634.08,10443578.62
2025-05-04,9,4959.41,10448538.03
2025-05-05,41,14883.48,10463421.51
2025-05-06,53,26398.98,10489820.49
2025-05-07,33,18817.43,10508637.92
2025-05-08,42,14640.85,10523278.77
2025-05-09,46,26535.24,10549814.01
2025-05-10,49,48464.13,10598278.14
2025-05-11,15,6188.86,10604467.0
2025-05-12,69,48539.11,10653006.11
2025-05-13,45,30200.55,10683206.66
2025-05-14,57,22987.96,10706194.62
2025-05-15,54,72690.88,10778885.5
2025-05-16,59,30217.42,10809102.92
2025-05-17,31,24170.05,10833272.97
2025-05-18,8,1926.16,10835199.13
2025-05-19,85,26398.52,10861597.65
2025-05-20,46,25250.31,10886847.96
2025-05-21,48,68230.37,10955078.33
2025-05-22,49,217638.75,11172717.08
2025-05-23,52,42019.86,11214736.94
2025-05-24,44,64242.44,11278979.38
2025-05-25,28,8465.34,11287444.72
2025-05-26,63,38384.93,11325829.65
2025-05-27,72,135718.64,11461548.29
2025-05-28,61,32458.86,11494007.15
2025-05-29,69,43803.78,11537810.93
2025-05-30,41,15285.62,11553096.55
2025-05-31,45,12187.63,11565284.18
2025-06-01,27,15989.25,11581273.43
2025-06-02,96,66661.49,11647934.92
2025-06-03,120,107343.71,11755278.63
2025-06-04,72,67541.76,11822820.39
2025-06-05,68,20869.64,11843690.03
2025-06-06,53,31070.89,11874760.92
2025-06-07,31,20893.64,11895654.56
2025-06-08,17,56930.08,11952584.64
2025-06-09,85,43679.5,11996264.14
2025-06-10,74,26795.83,12023059.97
2025-06-11,108,107585.47,12130645.44
2025-06-12,78,49270.05,12179915.49
2025-06-13,68,33261.79,12213177.28
2025-06-14,48,16248.37,12229425.65
2025-06-15,20,15895.84,12245321.49
2025-06-16,89,44875.87,12290197.36
2025-06-17,84,62628.53,12352825.89
2025-06-18,77,104240.0,12457065.89
2025-06-19,100,115107.31,12572173.2
2025-06-20,87,57565.13,12629738.33
2025-06-21,51,26677.14,12656415.47
2025-06-22,13,4745.24,12661160.71
2025-06-23,115,81169.07,12742329.78
2025-06-24,115,74403.89,12816733.67
2025-06-25,131,68642.73,12885376.4
2025-06-26,93,27144.91,12912521.31
2025-06-27,84,119302.41,13031823.72
2025-06-28,92,50655.61,13082479.33
2025-06-29,18,77471.44,13159950.77
2025-06-30,113,72823.66,13232774.43
2025-07-01,215,123149.98,13355924.41
2025-07-02,242,72238.5,13428162.91
2025-07-03,290,139256.36,13567419.27
2025-07-04,280,103297.89,13670717.16
2025-07-05,226,171514.56,13842231.72
2025-07-06,78,22154.49,13864386.21
2025-07-07,313,132464.85,13996851.06
2025-07-08,312,428442.06,14425293.12
2025-07-09,330,318198.42,14743491.54
2025-07-10,217,203748.95,14947240.49
2025-07-11,289,77138.33,15024378.82
2025-07-12,229,60495.94,15084874.76
2025-07-13,55,19751.46,15104626.22
2025-07-14,247,123358.05,15227984.27
2025-07-15,261,135094.44,15363078.71
2025-07-16,210,99175.12,15462253.83
2025-07-17,180,128004.6,15590258.43
2025-07-18,216,70393.18,15660651.61
2025-07-19,197,62072.46,15722724.07
2025-07-20,78,65552.49,15788276.56
2025-07-21,274,116686.45,15904963.01
2025-07-22,261,144631.99,16049595.0
2025-07-23,128,106923.13,16156518.13
2025-07-24,213,69327.06,16225845.19
2025-07-25,263,270020.12,16495865.31
2025-07-26,192,78633.6,16574498.91
2025-07-27,63,23736.82,16598235.73
2025-07-28,109,25047.53,16623283.26
2025-07-29,193,86366.23,16709649.49
2025-07-30,455,189392.04,16899041.53
2025-07-31,275,294647.96,17193689.49
2025-08-01,789,549113.83,17742803.32
2025-08-02,632,261461.51,18004264.83
2025-08-03,177,38411.52,18042676.35
2025-08-04,848,317966.7,18360643.05
2025-08-05,729,357865.6,18718508.65
2025-08-06,233,127343.29,18845851.94
2025-08-07,711,201471.98,19047323.92
2025-08-08,806,219134.55,19266458.47
2025-08-09,606,155321.95,19421780.42
2025-08-10,180,80681.98,19502462.4
2025-08-11,764,216360.34,19718822.74
2025-08-12,732,277451.91,19996274.65
2025-08-13,869,315819.44,20312094.09
2025-08-14,683,258620.47,20570714.56
2025-08-15,696,240964.27,20811678.83
2025-08-16,654,321716.32,21133395.15
2025-08-17,196,96370.2,21229765.35
2025-08-18,931,287666.66,21517432.01
2025-08-19,833,274129.89,21791561.9
2025-08-20,732,257774.24,22049336.14
2025-08-21,969,258283.34,22307619.48
2025-08-22,861,219238.5,22526857.98
2025-08-23,826,187625.33,22714483.31
2025-08-24,203,148705.6,22863188.91
2025-08-25,1094,355622.64,23218811.55
2025-08-26,1085,430990.84,23649802.39
2025-08-27,1004,385101.27,24034903.66
2025-08-28,769,258353.92,24293257.58
2025-08-29,709,258034.76,24551292.34
2025-08-30,307,224909.07,24776201.41
2025-08-31,277,294267.33,25070468.74
2025-09-01,1241,536098.25,25606566.99
2025-09-02,1261,319062.66,25925629.65
2025-09-03,1153,373134.87,26298764.52
2025-09-04,1169,428544.09,26727308.61
2025-09-05,1121,290484.75,27017793.36
2025-09-06,949,279701.2,27297494.56
2025-09-07,293,112248.63,27409743.19
2025-09-08,1386,750103.41,28159846.6
2025-09-09,1337,470788.99,28630635.59
2025-09-10,1363,362622.33,28993257.92
2025-09-11,1127,448540.02,29441797.94
2025-09-12,1162,514558.44,29956356.38
2025-09-13,842,350124.58,30306480.96
2025-09-14,392,173386.2,30479867.16
2025-09-15,1318,416016.41,30895883.57
2025-09-16,1187,506759.85,31402643.42
2025-09-17,1216,600025.65,32002669.07
2025-09-18,1196,479853.96,32482523.03
2025-09-19,1239,384760.41,32867283.44
2025-09-20,883,420380.77,33287664.21
2025-09-21,336,90117.75,33377781.96
2025-09-22,1660,669107.48,34046889.44
2025-09-23,1547,615799.61,34662689.05
2025-09-24,1482,730069.75,35392758.8
2025-09-25,1501,495403.51,35888162.31
2025-09-26,1474,614104.97,36502267.28
2025-09-27,1008,338072.13,36840339.41
2025-09-28,328,307841.42,37148180.83
2025-09-29,1567,521659.07,37669839.9
2025-09-30,1536,530903.96,38200743.86
2025-10-01,2386,836125.96,39036869.82
2025-10-02,1964,728883.89,39765753.71
2025-10-03,2142,687859.5,40453613.21
2025-10-04,1594,601114.71,41054727.92
2025-10-05,466,193735.37,41248463.29
2025-10-06,2316,728778.59,41977241.88
2025-10-07,2247,791966.33,42769208.21
2025-10-08,630,343051.54,43112259.75
2025-10-09,2135,845986.44,43958246.19
2025-10-10,2223,1033533.15,44991779.34
2025-10-11,1674,613547.67,45605327.01
2025-10-12,463,355789.06,45961116.07
2025-10-13,2779,953671.26,46914787.33
2025-10-14,2368,963028.11,47877815.44
2025-10-15,2276,877409.36,48755224.8
2025-10-16,2402,954719.7,49709944.5
2025-10-17,2254,850746.34,50560690.84
2025-10-18,1736,699993.46,51260684.3
2025-10-19,484,337696.91,51598381.21
2025-10-20,2798,1048858.01,52647239.22
2025-10-21,2767,844186.7,53491425.92
2025-10-22,2692,948059.15,54439485.07
2025-10-23,2643,1041200.48,55480685.55
2025-10-24,2644,1366178.86,56846864.41
2025-10-25,1954,810709.42,57657573.83
2025-10-26,486,540031.24,58197605.07
2025-10-27,3496,1667183.79,59864788.86
2025-10-28,3195,1507002.42,61371791.28
2025-10-29,3052,1361558.65,62733349.93
2025-10-30,3000,1027041.97,63760391.9
2025-10-31,2642,1096797.72,64857189.62
2025-11-01,15098,1437259.89,66294449.51
2025-11-02,712,442383.99,66736833.5
2025-11-03,5574,1710288.75,68447122.25
2025-11-04,4577,1440106.71,69887228.96
2025-11-05,5098,1847976.85,71735205.81
2025-11-06,4495,1627813.02,73363018.83
2025-11-07,4615,1843204.42,75206223.25
2025-11-08,3254,1229261.47,76435484.72
2025-11-09,747,399881.72,76835366.44
2025-11-10,5869,2184428.21,79019794.65
2025-11-11,5756,1898265.29,80918059.94
2025-11-12,5496,2089300.38,83007360.32
2025-11-13,5099,1795020.55,84802380.87
2025-11-14,4904,1971118.58,86773499.45
2025-11-15,10307,1693435.56,88466935.01
2025-11-16,725,629512.83,89096447.84
2025-11-17,6214,2068121.31,91164569.15
2025-11-18,6296,2365755.94,93530325.09
2025-11-19,6386,2379374.61,95909699.7
2025-11-20,6335,2192208.24,98101907.94
2025-11-21,5957,2073143.94,100175051.88
2025-11-22,4845,1769700.12,101944752.0
2025-11-23,941,837333.16,102782085.16
2025-11-24,7794,3040642.21,105822727.37
2025-11-25,7404,3076547.57,108899274.94
2025-11-26,7269,2670279.76,111569554.7
2025-11-27,7530,2762582.38,114332137.08
2025-11-28,8001,2726755.75,117058892.83
2025-11-29,6554,2042379.5,119101272.33
2025-11-30,1502,1286651.85,120387924.18
2025-12-01,16799,4123165.2,124511089.38
2025-12-02,14840,3938604.8,128449694.18
2025-12-03,15201,4336379.02,132786073.2
2025-12-04,15107,4301727.87,137087801.07
2025-12-05,14657,4093322.83,141181123.9
2025-12-06,11606,2951978.3,144133102.2
2025-12-07,2537,865510.93,144998613.13
2025-12-08,3633,1484372.44,146482985.57
2025-12-09,4769,1679661.35,148162646.92
2025-12-10,18723,5423946.97,153586593.89
2025-12-11,17294,5400271.13,158986865.02
2025-12-12,16231,5220718.69,164207583.71
2025-12-13,13635,3702753.98,167910337.69
2025-12-14,3710,1543730.62,169454068.31
2025-12-15,21372,6582732.33,176036800.64
2025-12-16,20232,5884708.86,181921509.5
2025-12-17,20443,6028323.71,187949833.21
2025-12-18,19048,5737941.15,193687774.36
2025-12-19,17647,5399500.95,199087275.31
2025-12-20,13494,4096838.2,203184113.51
2025-12-21,3942,1389176.36,204573289.87
2025-12-22,20841,6719281.73,211292571.6
2025-12-23,18164,5267546.27,216560117.87
2025-12-24,7481,2358659.95,218918777.82
2025-12-25,2258,876017.01,219794794.83
2025-12-26,17641,4997177.7,224791972.53
2025-12-27,12398,3598581.23,228390553.76
2025-12-28,3553,1198433.5,229588987.26
2025-12-29,19237,5151731.91,234740719.17
2025-12-30,16215,4320847.41,239061566.58
2025-12-31,6598,1937254.12,240998820.7
2026-01-01,917,524054.45,241522875.15
2026-01-02,6320,2636460.38,244159335.53
2026-01-03,4916,1904515.19,246063850.72
2026-01-04,1388,627523.38,246691374.1
2026-01-05,8756,3433445.57,250124819.67
2026-01-06,7467,2882448.32,253007267.99
2026-01-07,6787,2703255.64,255710523.63
2026-01-08,6446,2808459.36,258518982.99
2026-01-09,5945,2628964.3,261147947.29
2026-01-10,4054,1628597.07,262776544.36
2026-01-11,945,393905.57,263170449.93
2026-01-12,5486,2302330.56,265472780.49
2026-01-13,4614,1896727.59,267369508.08
2026-01-14,4397,1938491.19,269307999.27
2026-01-15,3646,1445087.52,270753086.79
2026-01-16,2292,940945.06,271694031.85
2026-01-17,1574,719468.27,272413500.12
2026-01-18,425,168808.7,272582308.82
2026-01-19,1781,729853.27,273312162.09
2026-01-20,1313,418717.35,273730879.44
2026-01-21,730,183187.64,273914067.08
2026-01-22,619,111289.49,274025356.57
2026-01-23,167,27749.01,274053105.58
2026-01-24,71,19054.74,274072160.32
2026-01-25,24,8593.98,274080754.3
2026-01-26,82,18244.81,274098999.11
2026-01-27,47,15178.07,274114177.18
2026-01-28,37,8315.08,274122492.26
2026-01-29,9,3690.24,274126182.5
2026-01-30,8,2322.63,274128505.13
2026-01-31,3,980.09,274129485.22
